Date,Channel,Campaign,Impressions,Clicks,Spend,Conversions,Revenue
01/01/2023,Google Ads,Brand Search,12241,761,925.62,27,1581.86
01/01/2023,Google Ads,Competitor Keywords,11127,585,497.63,22,1599.12
01/01/2023,Google Ads,Retargeting,6441,395,786.94,18,1273
01/01/2023,Meta,Awareness,19765,199,207.89,6,331.25
01/01/2023,Meta,Retargeting,13783,295,142.12,7,390.39
01/01/2023,Meta,Lead Gen,20315,449,441.72,12,890.32
01/01/2023,LinkedIn,Brand Awareness,2326,12,66.17,0,0
01/01/2023,LinkedIn,Lead Gen,2218,9,35.2,0,0
01/01/2023,LinkedIn,Event Promotion,2458,14,67.39,0,0
01/01/2023,TikTok,Top of Funnel,29633,316,240.79,4,213.1
01/01/2023,TikTok,Product Showcase,23651,247,117.91,2,125.52
01/01/2023,TikTok,Retargeting,38810,436,288.19,3,178.96
02/01/2023,Google Ads,Brand Search,9583,402,945.64,21,1682.67
02/01/2023,Google Ads,Competitor Keywords,9013,467,1099.66,22,1413.96
02/01/2023,Google Ads,Retargeting,9693,544,1126.04,25,1885.59
02/01/2023,Meta,Awareness,18449,460,371.51,7,324.89
02/01/2023,Meta,Retargeting,12491,154,145.44,4,226.17
02/01/2023,Meta,Lead Gen,29748,533,627.27,19,861.54
02/01/2023,LinkedIn,Brand Awareness,3284,27,162.09,1,103.81
02/01/2023,LinkedIn,Lead Gen,2354,14,95.41,0,0
02/01/2023,LinkedIn,Event Promotion,3276,21,71.94,0,0
02/01/2023,TikTok,Top of Funnel,41258,393,258.4,5,291.79
02/01/2023,TikTok,Product Showcase,46223,646,318.58,6,275.34
02/01/2023,TikTok,Retargeting,27760,288,155.64,2,113.91
03/01/2023,Google Ads,Brand Search,7831,438,444.04,24,2115.35
03/01/2023,Google Ads,Competitor Keywords,7462,493,749.03,18,1329.76
03/01/2023,Google Ads,Retargeting,15821,971,1435.42,55,3743.83
03/01/2023,Meta,Awareness,23620,324,146.2,5,308.09
03/01/2023,Meta,Retargeting,23553,260,235.27,5,360.81
03/01/2023,Meta,Lead Gen,16876,229,214.16,4,195.88
03/01/2023,LinkedIn,Brand Awareness,4874,33,131.08,1,108.49
03/01/2023,LinkedIn,Lead Gen,1573,9,42.25,0,0
03/01/2023,LinkedIn,Event Promotion,3732,26,84.3,1,136.04
03/01/2023,TikTok,Top of Funnel,18834,186,87.27,2,86.71
03/01/2023,TikTok,Product Showcase,30342,265,181.48,4,151.75
03/01/2023,TikTok,Retargeting,45760,809,611.46,14,559.85
04/01/2023,Google Ads,Brand Search,11900,784,1829.98,28,1542.11
04/01/2023,Google Ads,Competitor Keywords,10036,637,1002.33,29,2566.68
04/01/2023,Google Ads,Retargeting,13451,734,824.15,28,1597.31
04/01/2023,Meta,Awareness,29702,630,280.81,18,1081.54
04/01/2023,Meta,Retargeting,21804,532,246.9,10,628.51
04/01/2023,Meta,Lead Gen,30866,495,570.87,14,873.15
04/01/2023,LinkedIn,Brand Awareness,1679,10,53.35,0,0
04/01/2023,LinkedIn,Lead Gen,2235,12,48.75,0,0
04/01/2023,LinkedIn,Event Promotion,2743,21,69.09,0,0
04/01/2023,TikTok,Top of Funnel,17364,175,62.85,3,184.28
04/01/2023,TikTok,Product Showcase,25949,248,173.66,4,213.4
04/01/2023,TikTok,Retargeting,34944,565,214.49,9,568.51
05/01/2023,Google Ads,Brand Search,7109,474,977.44,17,1102.64
05/01/2023,Google Ads,Competitor Keywords,9148,421,790.72,17,1225.68
05/01/2023,Google Ads,Retargeting,5813,306,388.73,9,737.9
05/01/2023,Meta,Awareness,30779,382,287.82,12,741.93
05/01/2023,Meta,Retargeting,12214,283,317.85,8,560.3
05/01/2023,Meta,Lead Gen,25968,427,185.09,10,729.93
05/01/2023,LinkedIn,Brand Awareness,4971,42,161.29,1,87.2
05/01/2023,LinkedIn,Lead Gen,3966,33,227.55,1,144.8
05/01/2023,LinkedIn,Event Promotion,2470,21,131.1,0,0
05/01/2023,TikTok,Top of Funnel,33981,411,247.4,6,254.67
05/01/2023,TikTok,Product Showcase,24792,225,162.74,4,166.69
05/01/2023,TikTok,Retargeting,35927,582,420.67,6,328.81
06/01/2023,Google Ads,Brand Search,10334,681,1664.17,28,2168.65
06/01/2023,Google Ads,Competitor Keywords,11498,750,1022.22,23,1971.02
06/01/2023,Google Ads,Retargeting,8321,573,716.99,19,1333.98
06/01/2023,Meta,Awareness,31659,523,621,9,647.87
06/01/2023,Meta,Retargeting,14749,304,122.01,11,672.69
06/01/2023,Meta,Lead Gen,32751,689,384.21,17,1248.93
06/01/2023,LinkedIn,Brand Awareness,4107,22,140.63,0,0
06/01/2023,LinkedIn,Lead Gen,2572,14,81.04,0,0
06/01/2023,LinkedIn,Event Promotion,4010,29,191.73,1,101.07
06/01/2023,TikTok,Top of Funnel,46129,509,165.99,8,425.6
06/01/2023,TikTok,Product Showcase,30514,379,124.4,5,310.18
06/01/2023,TikTok,Retargeting,24452,265,158.55,4,151.21
07/01/2023,Google Ads,Brand Search,9346,436,496.4,13,826.4
07/01/2023,Google Ads,Competitor Keywords,12233,771,1213.71,50,3757.42
07/01/2023,Google Ads,Retargeting,15700,860,1044.71,48,2649.32
07/01/2023,Meta,Awareness,32917,766,783.42,15,1036.85
07/01/2023,Meta,Retargeting,28504,306,183.4,11,645.63
07/01/2023,Meta,Lead Gen,23808,590,517.05,22,1578.34
07/01/2023,LinkedIn,Brand Awareness,3701,31,145.92,1,111.21
07/01/2023,LinkedIn,Lead Gen,2133,13,52.48,0,0
07/01/2023,LinkedIn,Event Promotion,4172,26,102.88,0,0
07/01/2023,TikTok,Top of Funnel,24708,276,144.65,2,83.88
07/01/2023,TikTok,Product Showcase,23904,206,91.58,2,94.95
07/01/2023,TikTok,Retargeting,27679,329,217.76,6,213.52
08/01/2023,Google Ads,Brand Search,12604,506,707.38,30,2546.12
08/01/2023,Google Ads,Competitor Keywords,11276,699,1509.68,46,3316.05
08/01/2023,Google Ads,Retargeting,9173,374,512.91,21,1452.17
08/01/2023,Meta,Awareness,16869,401,475.02,11,794.29
08/01/2023,Meta,Retargeting,26294,273,249.58,5,294.25
08/01/2023,Meta,Lead Gen,11586,172,131.37,4,285.56
08/01/2023,LinkedIn,Brand Awareness,2532,20,80.18,0,0
08/01/2023,LinkedIn,Lead Gen,2732,23,89.63,0,0
08/01/2023,LinkedIn,Event Promotion,1746,15,56.96,0,0
08/01/2023,TikTok,Top of Funnel,21035,192,147.58,2,85.37
08/01/2023,TikTok,Product Showcase,29829,419,271.83,3,178.74
08/01/2023,TikTok,Retargeting,26727,220,85.18,3,191.24
09/01/2023,Google Ads,Brand Search,12313,565,1020.71,35,2222.49
09/01/2023,Google Ads,Competitor Keywords,15757,1032,1878.96,35,3130.21
09/01/2023,Google Ads,Retargeting,6205,327,467.6,16,1071.09
09/01/2023,Meta,Awareness,23659,274,320.2,8,558.89
09/01/2023,Meta,Retargeting,25652,324,264.84,10,634.77
09/01/2023,Meta,Lead Gen,26492,449,476.2,13,710.7
09/01/2023,LinkedIn,Brand Awareness,2477,10,65.27,0,0
09/01/2023,LinkedIn,Lead Gen,3544,20,99.54,0,0
09/01/2023,LinkedIn,Event Promotion,2821,16,104.34,0,0
09/01/2023,TikTok,Top of Funnel,15576,154,53.1,1,51.66
09/01/2023,TikTok,Product Showcase,28344,409,202.25,7,264.54
09/01/2023,TikTok,Retargeting,25148,262,156.77,3,154.81
10/01/2023,Google Ads,Brand Search,9995,623,848.74,36,2321.35
10/01/2023,Google Ads,Competitor Keywords,8353,514,686.93,30,2648.42
10/01/2023,Google Ads,Retargeting,13112,609,988.49,35,3121.34
10/01/2023,Meta,Awareness,24844,613,653.52,13,725.74
10/01/2023,Meta,Retargeting,15955,287,177.78,11,677.61
10/01/2023,Meta,Lead Gen,32171,629,630.41,11,499.05
10/01/2023,LinkedIn,Brand Awareness,2351,14,52.32,0,0
10/01/2023,LinkedIn,Lead Gen,2623,11,54.64,0,0
10/01/2023,LinkedIn,Event Promotion,1758,11,46.37,0,0
10/01/2023,TikTok,Top of Funnel,36586,581,194.87,8,388.12
10/01/2023,TikTok,Product Showcase,34525,479,219.05,7,257.65
10/01/2023,TikTok,Retargeting,22546,227,74.14,3,119.14
11/01/2023,Google Ads,Brand Search,8262,369,551.46,21,1500.39
11/01/2023,Google Ads,Competitor Keywords,5884,360,718.23,17,1343.99
11/01/2023,Google Ads,Retargeting,10049,590,1135.17,39,2725.31
11/01/2023,Meta,Awareness,22599,276,169.05,5,233.95
11/01/2023,Meta,Retargeting,19345,432,491.16,11,649.67
11/01/2023,Meta,Lead Gen,19844,479,383.38,13,616.37
11/01/2023,LinkedIn,Brand Awareness,1811,13,70.39,0,0
11/01/2023,LinkedIn,Lead Gen,3930,27,183.68,1,127.06
